연번,시도,시군구,기관명,주소,기관 대표전화,위수탁기간,시설유형구분,특화서비스,응급안전안심서비스,방문요양서비스,재가노인복지서비스,사회서비스원 소속,사회서비스형 노인일자리 파견 이용,위도,경도,주소2
32,서울특별시,동작구,동작노인종합복지관,서울특별시 동작구 상도로11길 7,02-823-0064,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당,해당없음,해당없음,37.50061119,126.9296492,서울특별시 동작구 상도로11길 7
33,서울특별시,동작구,사당어르신종합복지관,서울특별시 동작구 사당동 남부순환로 2081,02-580-2461,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.47701714,126.9798517,서울특별시 동작구 사당동 남부순환로 2081
34,서울특별시,마포구,마포노인복지센터,"서울특별시 마포구 만리재로 99 / 2, 3층",02-712-3642,2022-01-01 ~ 2024-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당없음,37.47701714,126.9596775,서울특별시 마포구 만리재로 99
35,서울특별시,마포구,마포어르신돌봄통합센터,서울특별시 마포구 토정로 148-14(상수동),02-325-3850,2022-01-01 ~ 2024-12-31 (3년),재가노인복지시설,해당,해당없음,해당없음,해당,해당없음,해당,37.5455773,126.9274038,서울특별시 마포구 토정로 148-14
36,서울특별시,서대문구,시립서대문노인종합복지관,서울특별시 서대문구 독립문로8길 57,02-6945-0623,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.56525227,126.9594851,서울특별시 서대문구 독립문로8길 57
37,서울특별시,서대문구,효림재가노인지원센터,서울특별시 서대문구 경기대로9길 62,02-313-5124,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.56399333,126.9615682,서울특별시 서대문구 경기대로9길 62
38,서울특별시,서초구,서초어르신행복e음센터,서울특별시 서초구 방배중앙로 159-6,02-6925-6990,2023-01-01 ~ 2025-12-31 (3년),재가노인복지시설,해당,해당없음,해당없음,해당,해당없음,해당없음,37.49446696,126.9860941,서울특별시 서초구 방배중앙로 159-6
39,서울특별시,서초구,방배노인종합복지관,서울특별시 서초구 방배천로 48,02-581-7992,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.4784506,126.9826634,서울특별시 서초구 방배천로 48
40,서울특별시,성동구,성동노인종합복지관,"서울 성동구 마조로 77 (마장동, 성동노인종합복지관)",02-2298-5117,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당,37.56478466,127.0412399,서울 성동구 마조로 77
41,서울특별시,성동구,사회적협동조합 성동돌봄,"서울특별시 성동구 왕십리로 309 (행당동, 왕십리역이스타빌) 206호",02-2294-2114,2024-01-01 ~ 2026-12-31 (3년),협동조합,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.5613777,127.0345826,서울특별시 성동구 왕십리로 309  206호
42,서울특별시,성북구,정릉종합사회복지관,서울특별시 성북구 솔샘로5길 92(정릉동),02-909-0434,2024-01-01 ~ 2026-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당,해당없음,해당,37.61069752,127.0029958,서울특별시 성북구 솔샘로5길 92
43,서울특별시,성북구,길음종합사회복지관,"서울특별시 성북구 삼양로2길 55 (길음동, 길음종합사회복지관)",02-985-0161,2021-01-01 ~ 2024-12-31 (4년),사회복지관,해당,해당없음,해당없음,해당없음,해당없음,해당,37.60672275,127.0267933,서울특별시 성북구 삼양로2길 55
44,서울특별시,성북구,생명의전화종합사회복지관,서울특별시 성북구 오패산로 21(하월곡동),02-916-9191,2024-01-01 ~ 2026-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.60776675,127.0363714,서울특별시 성북구 오패산로 21
45,서울특별시,성북구,서울시립성북노인종합복지관,서울특별시 성북구 종암로15길 10(종암동),02-929-7950,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당,37.59766571,127.0340058,서울특별시 성북구 종암로15길 10
46,서울특별시,송파구,송파노인종합복지관,서울특별시 송파구 백제고분로32길 41,02-2203-9400,2024-01-01 ~ 2025-12-31 (2년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당,37.50084691,127.094979,서울특별시 송파구 백제고분로32길 41
47,서울특별시,송파구,송파실벗뜨락,"서울특별시 송파구 백제고분로42길 5 5,6층",02-413-9999,2024-01-01 ~ 2025-12-31 (2년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당,37.60672275,127.1097799,서울특별시 송파구 백제고분로42길 5 5
48,서울특별시,송파구,송파노인복지센터,"서울특별시 송파구 백제고분로41길 19-24, 2층 (송파동)",02-2202-3677,2024-01-01 ~ 2025-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당없음,37.50711819,127.1064111,서울특별시 송파구 백제고분로41길 19-24
49,서울특별시,양천구,양천어르신종합복지관,서울특별시 양천구 목동로3길 106(신정동),02-2649-4848,2024-01-01 ~ 2028-12-31 (5년),노인여가복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.51044253,126.8586279,서울특별시 양천구 목동로3길 106
50,서울특별시,양천구,서서울어르신복지관,서울특별시 양천구 가로공원로60가길 16,02-2608-4042,2024-01-01 ~ 2028-12-31 (5년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.53439634,126.8262937,서울특별시 양천구 가로공원로60가길 16
51,서울특별시,양천구,목동어르신복지관,서울특별시 양천구 목동중앙로3길 21(목4동 765-1),02-2643-3352,2024-01-01 ~ 2028-12-31 (5년),노인여가복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당,37.53646455,126.8692679,서울특별시 양천구 목동중앙로3길 21
52,서울특별시,영등포구,구립영등포노인복지센터,서울특별시 영등포구 선유서로34길 10,02-2679-0065,2024-01-01 ~ 2025-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.5268014,126.8870381,서울특별시 영등포구 선유서로34길 10
53,서울특별시,영등포구,영등포종합사회복지관,서울특별시 영등포구 신길로13길 4,02-845-5331,2024-01-01 ~ 2025-12-31 (2년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.49707578,126.9057001,서울특별시 영등포구 신길로13길 4
54,서울특별시,영등포구,신길종합사회복지관,서울특별시 영등포구 영등포로84길 24-5,02-831-2755,2024-01-01 ~ 2024-12-31 (1년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.510908,126.9219987,서울특별시 영등포구 영등포로84길 24-5
55,서울특별시,영등포구,영등포노인종합복지관,서울특별시 영등포구 도림로 482 영등포노인종합복지관,02-2068-5326,2024-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.51685634,126.8905415,서울특별시 영등포구 도림로 482 영등포노인종합복지관
56,서울특별시,용산구,시립용산노인종합복지관,서울특별시 용산구 독서당로11길 16,02-794-6100,2022-01-01 ~ 2024-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.53154656,127.006786,서울특별시 용산구 독서당로11길 16
57,서울특별시,용산구,갈월종합사회복지관,서울특별시 용산구 두텁바위로 25(갈월동),02-752-7887,2022-01-01 ~ 2024-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.54574635,126.9748285,서울특별시 용산구 두텁바위로 25
58,서울특별시,용산구,효창종합사회복지관,서울특별시 용산구 효창원로 146-12(효창동),02-716-0600,2022-01-01 ~ 2024-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.54114364,126.9631011,서울특별시 용산구 효창원로 146-12
59,서울특별시,용산구,청파노인복지관,서울특별시 용산구 청파로83길 26,02-701-6012,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.55207465,126.9679945,서울특별시 용산구 청파로83길 26
60,서울특별시,용산구,용산재가노인지원센터,"서울 용산구 한강대로 69 (한강로2가, 용산푸르지오써밋) 102동 2611호",02-792-7882,2022-01-01 ~ 2024-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.52704046,126.9648922,서울 용산구 한강대로 69  102동 2611호
61,서울특별시,은평구,은평어르신돌봄통합지원센터,"서울특별시 은평구 연서로13길 29-7, (구산동), 3층 은평어르신돌봄통합지원센터",02-389-9712,2023-01-01 ~ 2025-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.61017852,126.9126892,서울특별시 은평구 연서로13길 29-7
62,서울특별시,은평구,서울시립은평노인종합복지관,서울특별시 은평구 연서로 415,02-385-1351,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.63203995,126.9301667,서울특별시 은평구 연서로 415
63,서울특별시,종로구,구립종로노인종합복지관,서울특별시 종로구 율곡로19길 17-8,02-742-9500,2024-01-01 ~ 2024-12-31 (1년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.57729442,127.0072542,서울특별시 종로구 율곡로19길 17-8
64,서울특별시,중구,약수노인종합복지관,서울특별시 중구 다산로6길 11,02-2234-3515,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.5521443,127.0095219,서울특별시 중구 다산로6길 11
65,서울특별시,중구,유락종합사회복지관,"서울특별시 중구 퇴계로 460, 유락종합사회복지관",02-2235-4000,2024-01-01 ~ 2026-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당,37.5651439,127.0227988,서울특별시 중구 퇴계로 460
66,서울특별시,중구,중림종합사회복지관,서울특별시 중구 서소문로6길 16,02-362-3348,2024-01-01 ~ 2026-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당,해당없음,해당,37.55989525,126.9658111,서울특별시 중구 서소문로6길 16
67,서울특별시,중랑구,신내노인종합복지관,서울특별시 중랑구 신내로15길 175,02-3421-4800,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.61341037,127.0911909,서울특별시 중랑구 신내로15길 175
68,서울특별시,중랑구,중랑노인종합복지관,서울특별시 중랑구 겸재로9길 45 2층 사무실,02-493-9966,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.58843496,127.0778419,서울특별시 중랑구 겸재로9길 45 2층 사무실
69,서울특별시,중랑구,면목종합사회복지관,서울특별시 중랑구 용마산로 228,02-436-0500,2023-01-01 ~ 2024-12-31 (2년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.57337425,127.0872293,서울특별시 중랑구 용마산로 228
70,서울특별시,중랑구,여명재가노인지원서비스센터,서울특별시 중랑구 동일로 160길 49 (지층),02-976-2808,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.61124294,127.0804793,서울특별시 중랑구 동일로 160길 49
71,부산광역시,강서구,강서노인종합복지관,부산광역시 강서구 체육공원로 39 강서노인종합복지관,051-972-4851,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,35.20733025,128.9734665,부산광역시 강서구 체육공원로 39 강서노인종합복지관
72,부산광역시,강서구,명지노인종합복지관,"부산 강서구 명지국제13로 33 (명지동, 명지노인종합복지관)",051-712-7000,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당,해당없음,해당없음,35.1105637,128.923047,부산 강서구 명지국제13로 33
73,부산광역시,금정구,금정구노인복지관,부산광역시 금정구 청룡예전로 110(청룡동),051-792-7200,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,35.27917165,129.0847849,부산광역시 금정구 청룡예전로 110
74,부산광역시,금정구,남광종합사회복지관,부산광역시 금정구 중앙대로 2349번길 3,051-508-1998,2023-01-01 ~ 2024-12-31 (2년),사회복지관,해당없음,해당없음,해당,해당,해당없음,해당,35.29339563,129.1000091,부산광역시 금정구 중앙대로 2349번길 3
75,부산광역시,금정구,사회적협동조합 금정구지역자활센터,"부산 금정구 중앙대로1719번길 23 (부곡동, 우남빌딩) 302호",051-508-2163,2023-01-01 ~ 2024-12-31 (2년),협동조합,해당,해당없음,해당없음,해당없음,해당없음,해당없음,35.23764515,129.0909033,부산 금정구 중앙대로1719번길 23  302호
76,부산광역시,남구,남구노인복지관,부산광역시 남구 못골로 97-10(대연동),051-628-1291,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,35.13618147,129.0932543,부산광역시 남구 못골로 97-10
77,부산광역시,남구,용호종합사회복지관 부설 용호재가노인지원서비스센터,부산광역시 남구 이기대공원로 7(용호3동),051-628-6737,2022-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,35.1245471,129.1135265,부산광역시 남구 이기대공원로 7
78,부산광역시,남구,청전재가노인지원서비스센터,부산광역시 남구 유엔로 124 2층,051-622-1226,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,35.1252966,129.0794004,부산광역시 남구 유엔로 124 2층
79,부산광역시,남구,남구종합사회복지관,"부산 남구 동제당로 258 (우암동, 남구종합복지관)",051-647-3655,2023-01-01 ~ 2024-12-31 (2년),사회복지관,해당없음,해당,해당없음,해당없음,해당없음,해당없음,35.12717198,129.0749074,부산 남구 동제당로 258
80,부산광역시,동구,동구노인복지관,부산광역시 동구 홍곡중로 5번길 24(수정동),051-714-2945,2024-01-01 ~ 2028-12-31 (5년),노인여가복지시설,해당,해당없음,해당,해당,해당없음,해당,35.12581096,129.0404176,부산광역시 동구 홍곡중로 5번길 24
81,부산광역시,동구,부산동구자성대노인복지관,"부산광역시 동구 자성로 140번길 32, 2층 노인맞춤돌봄서비스 사무실",051-632-7597,2024-01-01 ~ 2028-12-31 (5년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,35.13564216,129.0648461,부산광역시 동구 자성로 140번길 32
82,부산광역시,동래구,동래구노인복지관,부산광역시 동래구 명륜로 207번길 18,051-710-6252,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당,35.21238217,129.0819723,부산광역시 동래구 명륜로 207번길 18
83,부산광역시,동래구,사직노인복지센터,부산광역시 동래구 사직북로63번길 20-7 본관 3층,051-506-3416,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,35.1990151,129.0573393,부산광역시 동래구 사직북로63번길 20-7 본관 3층
84,부산광역시,동래구,효림원재가노인지원서비스센터,"부산광역시 동래구 반송로273번길 7, 303호",051-523-1322,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,35.20440505,129.1009151,부산광역시 동래구 반송로273번길 7
85,부산광역시,부산진구,부산진구노인복지관,부산광역시 부산진구 전포대로300번길 6,051-808-8090,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,35.16511671,129.066515,부산광역시 부산진구 전포대로300번길 6
86,부산광역시,부산진구,다사랑복합문화예술회관,부산광역시 부산진구 대학로 60,051-898-1746,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,35.15439571,129.0372472,부산광역시 부산진구 대학로 60
87,부산광역시,북구,장선종합복지공동체(실버벨노인종합복지관),부산광역시 북구 시랑로114번길 45(구포동),051-337-5959,2024-01-01 ~ 2024-12-31 (1년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당,35.19426533,129.0086898,부산광역시 북구 시랑로114번길 45
88,부산광역시,북구,화명종합사회복지관,부산광역시 북구 금곡대로199번길 21(화명동),051-338-2233,2024-01-01 ~ 2024-12-31 (1년),사회복지관,해당,해당없음,해당없음,해당없음,해당없음,해당없음,35.22680891,129.0097811,부산광역시 북구 금곡대로199번길 21
89,부산광역시,북구,청록재가노인지원서비스센터,"부산광역시 북구 만덕대로155번길 86-9 (덕천동, 덕천2지구도개공아파트)",051-337-0161,2024-01-01 ~ 2024-12-31 (1년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,35.21803559,129.0211096,부산광역시 북구 만덕대로155번길 86-9
90,부산광역시,북구,부산삼동재가노인지원서비스센터,부산 북구 금곡대로324번길 11 (화명동),051-343-5685,2021-01-01 ~ 2024-12-31 (4년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,35.23727113,129.0147177,부산 북구 금곡대로324번길 11
91,부산광역시,사상구,모라종합사회복지관,부산광역시 사상구 모라로 110번길 129,051-304-9876,2022-01-01 ~ 2024-12-31 (3년),사회복지관,해당,해당없음,해당없음,해당없음,해당없음,해당,35.18494473,128.9978741,부산광역시 사상구 모라로 110번길 129
92,부산광역시,사상구,사상구종합사회복지관,부산광역시 사상구 백양대로 527 2층 맞춤돌봄서비스,051-710-2232,2022-01-01 ~ 2024-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당,해당없음,해당없음,35.15543028,128.9947834,부산광역시 사상구 백양대로 527 2층 맞춤돌봄서비스
93,부산광역시,사상구,사상구노인복지관,"부산광역시 사상구 가야대로196번길 51, 5층",051-325-7555,2022-01-01 ~ 2024-12-31 (3년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당없음,35.14738137,128.995023,부산광역시 사상구 가야대로196번길 51
94,부산광역시,사하구,사하중앙노인복지센터,부산광역시 사하구 승학로 123,051-206-9106,2024-01-01 ~ 2026-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당없음,35.10226065,128.9940353,부산광역시 사하구 승학로 123
