연번,시도,시군구,기관명,주소,기관 대표전화,위수탁기간,시설유형구분,특화서비스,응급안전안심서비스,방문요양서비스,재가노인복지서비스,사회서비스원 소속,사회서비스형 노인일자리 파견 이용,위도,경도
24,서울특별시,노원구,서울노원남부지역자활센터,"서울특별시 노원구 동일로178길 19-38 204호, 302호, 402호, (공릉동, 연세빌딩)",02-941-6594,2023-01-01 ~ 2025-12-31 (3년),지역자활센터,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.62209372,127.0757125
25,서울특별시,노원구,시립노원노인종합복지관,서울특별시 노원구 노원로16길 15(하계동),02-948-7350,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.64344507,127.0733372
26,서울특별시,노원구,노원구어르신돌봄지원센터,"서울특별시 노원구 상계로23길 17, 원터행복발전소3층",02-935-5000,2023-01-01 ~ 2025-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.65881152,127.068523
27,서울특별시,도봉구,서울시립 도봉노인종합복지관,서울특별시 도봉구 도당로2길 12-13,02-993-9900,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당,해당없음,해당없음,37.65904085,127.0369238
28,서울특별시,도봉구,한결재가돌봄센터,서울특별시 도봉구 도봉로164길 33-25 502호,02-955-2505,2024-01-01 ~ 2026-12-31 (3년),협동조합,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.67648534,127.0471941
29,서울특별시,도봉구,도봉재가노인지원센터,서울특별시 도봉구 시루봉로 130 (방학동) 5층,02-3494-6060,2024-01-01 ~ 2026-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.66241991,127.0277774
30,서울특별시,동대문구,동대문노인종합복지관,"서울특별시 동대문구 제기로33길 25, 동대문노인종합복지관 (청량리동, 동대문노인종합복지관)",02-963-0565,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당,37.58724134,127.0498265
31,서울특별시,동대문구,은천재가노인지원센터,서울특별시 동대문구 장한로27가길 53,02-2249-0580,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.57494425,127.0711675
32,서울특별시,동작구,동작노인종합복지관,서울특별시 동작구 상도로11길 7,02-823-0064,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당,해당없음,해당없음,37.50061119,126.9296492
33,서울특별시,동작구,사당어르신종합복지관,서울특별시 동작구 사당동 남부순환로 2081,02-580-2461,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.47701714,126.9798517
34,서울특별시,마포구,마포노인복지센터,"서울특별시 마포구 만리재로 99 / 2, 3층",02-712-3642,2022-01-01 ~ 2024-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당없음,37.47701714,126.9596775
35,서울특별시,마포구,마포어르신돌봄통합센터,서울특별시 마포구 토정로 148-14(상수동),02-325-3850,2022-01-01 ~ 2024-12-31 (3년),재가노인복지시설,해당,해당없음,해당없음,해당,해당없음,해당,37.5455773,126.9274038
36,서울특별시,서대문구,시립서대문노인종합복지관,서울특별시 서대문구 독립문로8길 57,02-6945-0623,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.56525227,126.9594851
37,서울특별시,서대문구,효림재가노인지원센터,서울특별시 서대문구 경기대로9길 62,02-313-5124,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.56399333,126.9615682
38,서울특별시,서초구,서초어르신행복e음센터,서울특별시 서초구 방배중앙로 159-6,02-6925-6990,2023-01-01 ~ 2025-12-31 (3년),재가노인복지시설,해당,해당없음,해당없음,해당,해당없음,해당없음,37.49446696,126.9860941
39,서울특별시,서초구,방배노인종합복지관,서울특별시 서초구 방배천로 48,02-581-7992,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.4784506,126.9826634
40,서울특별시,성동구,성동노인종합복지관,"서울 성동구 마조로 77 (마장동, 성동노인종합복지관)",02-2298-5117,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당,37.56478466,127.0412399
41,서울특별시,성동구,사회적협동조합 성동돌봄,"서울특별시 성동구 왕십리로 309 (행당동, 왕십리역이스타빌) 206호",02-2294-2114,2024-01-01 ~ 2026-12-31 (3년),협동조합,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.5613777,127.0345826
42,서울특별시,성북구,정릉종합사회복지관,서울특별시 성북구 솔샘로5길 92(정릉동),02-909-0434,2024-01-01 ~ 2026-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당,해당없음,해당,37.61069752,127.0029958
43,서울특별시,성북구,길음종합사회복지관,"서울특별시 성북구 삼양로2길 55 (길음동, 길음종합사회복지관)",02-985-0161,2021-01-01 ~ 2024-12-31 (4년),사회복지관,해당,해당없음,해당없음,해당없음,해당없음,해당,37.60672275,127.0267933
44,서울특별시,성북구,생명의전화종합사회복지관,서울특별시 성북구 오패산로 21(하월곡동),02-916-9191,2024-01-01 ~ 2026-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.60776675,127.0363714
45,서울특별시,성북구,서울시립성북노인종합복지관,서울특별시 성북구 종암로15길 10(종암동),02-929-7950,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당,37.59766571,127.0340058
46,서울특별시,송파구,송파노인종합복지관,서울특별시 송파구 백제고분로32길 41,02-2203-9400,2024-01-01 ~ 2025-12-31 (2년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당,37.50084691,127.094979
47,서울특별시,송파구,송파실벗뜨락,"서울특별시 송파구 백제고분로42길 5 5,6층",02-413-9999,2024-01-01 ~ 2025-12-31 (2년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당,37.60672275,127.1097799
48,서울특별시,송파구,송파노인복지센터,"서울특별시 송파구 백제고분로41길 19-24, 2층 (송파동)",02-2202-3677,2024-01-01 ~ 2025-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당없음,37.50711819,127.1064111
49,서울특별시,양천구,양천어르신종합복지관,서울특별시 양천구 목동로3길 106(신정동),02-2649-4848,2024-01-01 ~ 2028-12-31 (5년),노인여가복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.51044253,126.8586279
50,서울특별시,양천구,서서울어르신복지관,서울특별시 양천구 가로공원로60가길 16,02-2608-4042,2024-01-01 ~ 2028-12-31 (5년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.53439634,126.8262937
51,서울특별시,양천구,목동어르신복지관,서울특별시 양천구 목동중앙로3길 21(목4동 765-1),02-2643-3352,2024-01-01 ~ 2028-12-31 (5년),노인여가복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당,37.53646455,126.8692679
52,서울특별시,영등포구,구립영등포노인복지센터,서울특별시 영등포구 선유서로34길 10,02-2679-0065,2024-01-01 ~ 2025-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.5268014,126.8870381
53,서울특별시,영등포구,영등포종합사회복지관,서울특별시 영등포구 신길로13길 4,02-845-5331,2024-01-01 ~ 2025-12-31 (2년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.49707578,126.9057001
54,서울특별시,영등포구,신길종합사회복지관,서울특별시 영등포구 영등포로84길 24-5,02-831-2755,2024-01-01 ~ 2024-12-31 (1년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.510908,126.9219987
55,서울특별시,영등포구,영등포노인종합복지관,서울특별시 영등포구 도림로 482 영등포노인종합복지관,02-2068-5326,2024-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.51685634,126.8905415
56,서울특별시,용산구,시립용산노인종합복지관,서울특별시 용산구 독서당로11길 16,02-794-6100,2022-01-01 ~ 2024-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.53154656,127.006786
57,서울특별시,용산구,갈월종합사회복지관,서울특별시 용산구 두텁바위로 25(갈월동),02-752-7887,2022-01-01 ~ 2024-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.54574635,126.9748285
58,서울특별시,용산구,효창종합사회복지관,서울특별시 용산구 효창원로 146-12(효창동),02-716-0600,2022-01-01 ~ 2024-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.54114364,126.9631011
59,서울특별시,용산구,청파노인복지관,서울특별시 용산구 청파로83길 26,02-701-6012,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.55207465,126.9679945
60,서울특별시,용산구,용산재가노인지원센터,"서울 용산구 한강대로 69 (한강로2가, 용산푸르지오써밋) 102동 2611호",02-792-7882,2022-01-01 ~ 2024-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.52704046,126.9648922
61,서울특별시,은평구,은평어르신돌봄통합지원센터,"서울특별시 은평구 연서로13길 29-7, (구산동), 3층 은평어르신돌봄통합지원센터",02-389-9712,2023-01-01 ~ 2025-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.61017852,126.9126892
62,서울특별시,은평구,서울시립은평노인종합복지관,서울특별시 은평구 연서로 415,02-385-1351,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.63203995,126.9301667
63,서울특별시,종로구,구립종로노인종합복지관,서울특별시 종로구 율곡로19길 17-8,02-742-9500,2024-01-01 ~ 2024-12-31 (1년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.57729442,127.0072542
64,서울특별시,중구,약수노인종합복지관,서울특별시 중구 다산로6길 11,02-2234-3515,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.5521443,127.0095219
65,서울특별시,중구,유락종합사회복지관,"서울특별시 중구 퇴계로 460, 유락종합사회복지관",02-2235-4000,2024-01-01 ~ 2026-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당,37.5651439,127.0227988
66,서울특별시,중구,중림종합사회복지관,서울특별시 중구 서소문로6길 16,02-362-3348,2024-01-01 ~ 2026-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당,해당없음,해당,37.55989525,126.9658111
67,서울특별시,중랑구,신내노인종합복지관,서울특별시 중랑구 신내로15길 175,02-3421-4800,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,37.61341037,127.0911909
68,서울특별시,중랑구,중랑노인종합복지관,서울특별시 중랑구 겸재로9길 45 2층 사무실,02-493-9966,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.58843496,127.0778419
69,서울특별시,중랑구,면목종합사회복지관,서울특별시 중랑구 용마산로 228,02-436-0500,2023-01-01 ~ 2024-12-31 (2년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,37.57337425,127.0872293
70,서울특별시,중랑구,여명재가노인지원서비스센터,서울특별시 중랑구 동일로 160길 49 (지층),02-976-2808,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,37.61124294,127.0804793
71,부산광역시,강서구,강서노인종합복지관,부산광역시 강서구 체육공원로 39 강서노인종합복지관,051-972-4851,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,35.20733025,128.9734665
72,부산광역시,강서구,명지노인종합복지관,"부산 강서구 명지국제13로 33 (명지동, 명지노인종합복지관)",051-712-7000,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당,해당없음,해당없음,35.1105637,128.923047
73,부산광역시,금정구,금정구노인복지관,부산광역시 금정구 청룡예전로 110(청룡동),051-792-7200,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,35.27917165,129.0847849
74,부산광역시,금정구,남광종합사회복지관,부산광역시 금정구 중앙대로 2349번길 3,051-508-1998,2023-01-01 ~ 2024-12-31 (2년),사회복지관,해당없음,해당없음,해당,해당,해당없음,해당,35.29339563,129.1000091
75,부산광역시,금정구,사회적협동조합 금정구지역자활센터,"부산 금정구 중앙대로1719번길 23 (부곡동, 우남빌딩) 302호",051-508-2163,2023-01-01 ~ 2024-12-31 (2년),협동조합,해당,해당없음,해당없음,해당없음,해당없음,해당없음,35.23764515,129.0909033
76,부산광역시,남구,남구노인복지관,부산광역시 남구 못골로 97-10(대연동),051-628-1291,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,35.13618147,129.0932543
77,부산광역시,남구,용호종합사회복지관 부설 용호재가노인지원서비스센터,부산광역시 남구 이기대공원로 7(용호3동),051-628-6737,2022-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,35.1245471,129.1135265
78,부산광역시,남구,청전재가노인지원서비스센터,부산광역시 남구 유엔로 124 2층,051-622-1226,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,35.1252966,129.0794004
79,부산광역시,남구,남구종합사회복지관,"부산 남구 동제당로 258 (우암동, 남구종합복지관)",051-647-3655,2023-01-01 ~ 2024-12-31 (2년),사회복지관,해당없음,해당,해당없음,해당없음,해당없음,해당없음,35.12717198,129.0749074
80,부산광역시,동구,동구노인복지관,부산광역시 동구 홍곡중로 5번길 24(수정동),051-714-2945,2024-01-01 ~ 2028-12-31 (5년),노인여가복지시설,해당,해당없음,해당,해당,해당없음,해당,35.12581096,129.0404176
81,부산광역시,동구,부산동구자성대노인복지관,"부산광역시 동구 자성로 140번길 32, 2층 노인맞춤돌봄서비스 사무실",051-632-7597,2024-01-01 ~ 2028-12-31 (5년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,35.13564216,129.0648461
82,부산광역시,동래구,동래구노인복지관,부산광역시 동래구 명륜로 207번길 18,051-710-6252,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당,35.21238217,129.0819723
83,부산광역시,동래구,사직노인복지센터,부산광역시 동래구 사직북로63번길 20-7 본관 3층,051-506-3416,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,35.1990151,129.0573393
84,부산광역시,동래구,효림원재가노인지원서비스센터,"부산광역시 동래구 반송로273번길 7, 303호",051-523-1322,2023-01-01 ~ 2024-12-31 (2년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,35.20440505,129.1009151
85,부산광역시,부산진구,부산진구노인복지관,부산광역시 부산진구 전포대로300번길 6,051-808-8090,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,35.16511671,129.066515
86,부산광역시,부산진구,다사랑복합문화예술회관,부산광역시 부산진구 대학로 60,051-898-1746,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,35.15439571,129.0372472
87,부산광역시,북구,장선종합복지공동체(실버벨노인종합복지관),부산광역시 북구 시랑로114번길 45(구포동),051-337-5959,2024-01-01 ~ 2024-12-31 (1년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당,35.19426533,129.0086898
88,부산광역시,북구,화명종합사회복지관,부산광역시 북구 금곡대로199번길 21(화명동),051-338-2233,2024-01-01 ~ 2024-12-31 (1년),사회복지관,해당,해당없음,해당없음,해당없음,해당없음,해당없음,35.22680891,129.0097811
89,부산광역시,북구,청록재가노인지원서비스센터,"부산광역시 북구 만덕대로155번길 86-9 (덕천동, 덕천2지구도개공아파트)",051-337-0161,2024-01-01 ~ 2024-12-31 (1년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,35.21803559,129.0211096
90,부산광역시,북구,부산삼동재가노인지원서비스센터,부산 북구 금곡대로324번길 11 (화명동),051-343-5685,2021-01-01 ~ 2024-12-31 (4년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,35.23727113,129.0147177
91,부산광역시,사상구,모라종합사회복지관,부산광역시 사상구 모라로 110번길 129,051-304-9876,2022-01-01 ~ 2024-12-31 (3년),사회복지관,해당,해당없음,해당없음,해당없음,해당없음,해당,35.18494473,128.9978741
92,부산광역시,사상구,사상구종합사회복지관,부산광역시 사상구 백양대로 527 2층 맞춤돌봄서비스,051-710-2232,2022-01-01 ~ 2024-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당,해당없음,해당없음,35.15543028,128.9947834
93,부산광역시,사상구,사상구노인복지관,"부산광역시 사상구 가야대로196번길 51, 5층",051-325-7555,2022-01-01 ~ 2024-12-31 (3년),노인여가복지시설,해당없음,해당,해당없음,해당없음,해당없음,해당없음,35.14738137,128.995023
94,부산광역시,사하구,사하중앙노인복지센터,부산광역시 사하구 승학로 123,051-206-9106,2024-01-01 ~ 2026-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당,해당,해당없음,해당없음,35.10226065,128.9940353
95,부산광역시,사하구,신장림사랑채노인복지관,부산광역시 사하구 다대로300번길 9,051-266-8515,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당,해당없음,해당없음,35.07488374,128.9751131
96,부산광역시,사하구,몰운대종합사회복지관,부산광역시 사하구 다대낙조2길 17,051-264-9033,2024-01-01 ~ 2024-12-31 (3년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,35.05116386,128.96572
97,부산광역시,사하구,구평종합사회복지관,부산광역시 사하구 을숙도대로 744,051-263-3045,2024-01-01 ~ 2026-12-31 (3년),사회복지관,해당없음,해당,해당없음,해당없음,해당없음,해당없음,35.08547834,128.9625328
98,부산광역시,사하구,인창재가노인지원서비스센터,부산 사하구 낙동대로 128 (괴정동) 4층,051-204-3472,2024-01-01 ~ 2026-12-31 (3년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,35.10369138,129.0018674
99,부산광역시,서구,서구종합사회복지관,"부산광역시 서구 망양로193번길 104, 서구종합사회복지관",051-253-1922,2023-01-01 ~ 2025-12-31 (3년),사회복지관,해당,해당,해당없음,해당없음,해당없음,해당없음,35.11117628,129.0263539
100,부산광역시,서구,서구노인복지관,"부산광역시 서구 장군산로46번길 21 (암남동, 서구노인복지관)",051-244-3541,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당,35.07312815,129.014348
101,부산광역시,수영구,수영구노인복지관,"부산광역시 수영구 황령대로489번길 83, 수영구노인복지관",051-759-6070,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당,해당,해당없음,해당,해당없음,해당없음,35.14004665,129.1111721
102,부산광역시,수영구,수영재가노인지원서비스센터,"부산광역시 수영구 연수로 375, 4층",051-912-7275,2020-01-01 ~ 2024-12-31 (5년),재가노인복지시설,해당없음,해당없음,해당없음,해당,해당없음,해당없음,35.17025432,129.1112829
103,부산광역시,수영구,광안노인복지관,부산광역시 수영구 장대골로 75-8,051-715-6099,2023-01-01 ~ 2024-12-31 (2년),노인여가복지시설,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,35.15919915,129.1078583
104,부산광역시,연제구,연제구거제종합사회복지관,부산광역시 연제구 아시아드대로 46번길 45(1층),051-507-8151,2020-01-01 ~ 2024-12-31 (5년),사회복지관,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,35.1884749,129.0707003
105,부산광역시,연제구,연제구노인복지관,부산광역시 연제구 고분로 188,051-863-9988,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당없음,해당없음,해당없음,해당없음,해당없음,35.18564211,129.0991663
106,부산광역시,연제구,부산돌봄의료복지사회적협동조합,부산 연제구 거제천로 89 (거제동) 이안빌딩 6층,051-852-0525,2023-01-01 ~ 2025-12-31 (3년),협동조합,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,35.18227599,129.0730612
107,부산광역시,영도구,영도구노인복지관,부산광역시 영도구 절영로29번길 14,051-417-6344,2024-01-01 ~ 2026-12-31 (3년),노인여가복지시설,해당,해당,해당없음,해당없음,해당없음,해당없음,35.09111532,129.0411392
108,부산광역시,영도구,와치종합사회복지관,부산광역시 영도구 함지로 79번길 76 2층 사무실,051-403-4200,2024-01-02 ~ 2026-12-31 (3년),사회복지관,해당,해당없음,해당,해당,해당없음,해당없음,35.07599781,129.0655237
109,부산광역시,중구,중구노인복지관,부산광역시 중구 책방골목길3-1,051-241-2591,2023-01-01 ~ 2025-12-31 (3년),노인여가복지시설,해당,해당,해당,해당없음,해당없음,해당,35.10414121,129.0261791
